GeneName	Prime3	Prime5
g4010	599	330
g4011	330	326
g4012	326	748
g4013	748	525
g4014	525	258
g4015	532	942
g4016	258	189
g4017	189	4657
g4018	4657	697
g4019	697	1255
g4020	1255	4542
g4021	4542	1919
g4022	1919	580
g4023	580	7208
g4024	7208	453
g4025	453	817
g4026	817	878
g4027	878	425
g4028	425	507
g4029	507	511
g4030	511	509
g4031	509	546
g4032	546	816
g4033	816	1252
g4034	1252	533
g4035	533	866
g4036	866	36
g4037	36	2351
g4038	2351	249
g4039	249	561
g4040	561	230
g4041	230	2066
g4042	2066	67
g4043	67	None
g4044	None	985
g4045	985	686
g4046	686	1085
g4047	1085	None
g4048	None	3931
g4049	3931	379
g4050	379	7517
g4051	7517	3341
g4052	3341	7302
g4053	7302	2006
g4054	2006	24
g4055	24	1733
g4056	1733	429
g4057	429	1127
g4058	1127	919
g4059	919	429
g4060	429	1127
g4061	1127	1972
g4062	1972	755
g4063	755	1242
g4064	1242	1865
g4065	1865	732
g4066	732	25288
g4067	25288	11340
g4068	11340	2757
g4069	2757	21
g4070	21	44
g4071	44	288
g4072	288	93
g4073	93	42
g4074	42	None
g4075	None	1189
g4076	1189	1769
g4077	1769	656
g4078	656	591
g4079	591	2064
g4080	2064	554
g4081	554	50
g4082	50	483
g4083	483	249
g4084	249	67
g4085	67	46
g4086	46	1788
g4087	1788	165
g4088	165	3917
g4089	3917	725
g4090	725	625
g4091	625	288
g4092	288	963
g4093	963	253
g4094	253	4849
g4095	3695	1220
g4096	1220	1217
g4097	1217	None
g4098	None	559
g4099	559	654
g4100	654	436
g4101	436	467
g4102	467	2205
g4103	2205	242
g4104	242	694
g4105	694	229
g4106	229	558
g4107	558	499
g4108	499	277
g4109	277	224
g4110	224	10
g4111	10	5710
g4112	5710	114
g4113	114	44
g4114	44	1106
g4115	1106	594
g4116	594	569
g4117	569	21
g4118	21	65
g4119	65	451
g4120	451	1534
g4121	1534	997
g4122	997	558
g4123	558	82
g4124	82	832
g4125	832	20
g4126	4373	3256
g4127	20	665
g4128	665	542
g4129	542	173
g4130	173	4107
g4131	4107	636
g4132	636	447
g4133	447	610
g4134	473	6546
g4135	610	645
g4136	645	383
g4137	383	2209
g4138	2209	72
g4139	72	316
g4140	316	636
g4141	636	164
g4142	164	100
g4143	100	352
g4144	352	549
g4145	549	480
g4146	480	784
g4147	784	286
g4148	286	1364
g4149	1364	204
g4150	204	693
g4151	693	1492
g4152	1492	147
g4153	147	278
g4154	278	None
g4155	None	969
g4156	969	1871
g4157	1871	952
g4158	952	20
g4159	20	156
g4160	156	100
g4161	100	60
g4162	60	278
g4163	278	440
g4164	440	1751
g4165	1751	461
g4166	461	493
g4167	493	421
g4168	421	532
g4169	532	69
g4170	69	2161
g4171	2161	25
g4172	25	2256
g4173	2256	27
g4174	27	609
g4175	609	850
g4176	850	247
g4177	247	151
g4178	151	9
g4179	9	1611
g4180	1611	471
g4181	471	136
g4182	136	450
g4183	450	252
g4184	252	402
g4185	402	713
g4186	713	133
g4187	133	239
g4188	239	1576
g4189	1576	3379
g4190	3379	297
g4191	297	211
g4192	211	67
g4193	67	68
g4194	68	7762
g4195	7762	15330
g4196	7934	954
g4197	954	305
g4198	305	572
g4199	572	422
g4200	422	760
g4201	760	346
g4202	346	263
g4203	263	735
g4204	735	68
g4205	68	2236
g4206	2236	381
g4207	381	193
g4208	193	131
g4209	131	29
g4210	29	138
g4211	138	223
g4212	223	147
g4213	147	492
g4214	492	285
g4215	285	1256
g4216	1256	869
g4217	869	178
g4218	178	47
g4219	47	520
g4220	520	195
g4221	195	258
g4222	258	2995
g4223	2995	6907
g4224	6907	1951
g4225	1951	1266
g4226	1266	286
g4227	286	42
g4228	42	75
g4229	75	10912
g4230	10912	1831
g4231	1831	428
g4232	428	20
g4233	20	1785
g4234	1785	272
g4235	272	567
g4236	567	208
g4237	582	5784
g4238	208	1539
g4239	1539	124
g4240	124	1500
g4241	1500	1438
g4242	1438	269
g4243	269	4636
g4244	4636	2570
g4245	2570	450
g4246	450	4753
g4247	4753	3138
g4248	3138	254
g4249	254	138
g4250	138	404
g4251	404	1143
g4252	1143	508
g4253	508	471
g4254	471	151
g4255	151	602
g4256	602	1774
g4257	1774	510
g4258	510	130
g4259	130	545
g4260	545	28
g4261	28	2228
g4262	2228	1484
g4263	1484	1932
g4264	1932	811
g4265	811	306
g4266	306	65
g4267	65	546
g4268	546	6483
g4269	6483	194
g4270	194	82
g4271	82	118
g4272	118	507
g4273	507	92
g4274	92	733
g4275	733	931
g4276	931	1404
g4277	1404	141
g4278	141	232
g4279	232	3109
g4280	3109	2241
g4281	2241	766
g4282	766	744
g4283	744	122
g4284	122	132
g4285	132	1008
g4286	1008	247
g4287	247	904
g4288	904	1251
g4289	1251	608
g4290	608	2447
g4291	2447	717
g4292	717	158
g4293	3011	7322
g4294	158	168
g4295	168	704
g4296	704	873
g4297	873	561
g4298	561	208
g4299	208	182
g4300	182	333
g4301	333	760
g4302	760	569
g4303	569	451
g4304	451	518
g4305	518	1899
g4306	1899	1147
g4307	1147	2168
g4308	2168	427
g4309	427	2751
g4310	2751	609
g4311	609	140
g4312	140	104
g4313	104	50
g4314	50	239
g4315	239	225
g4316	225	370
g4317	3260	190
g4318	190	6904
g4319	370	6851
g4320	6851	470
g4321	470	105
g4322	105	267
g4323	267	790
g4324	790	1351
g4325	1351	710
g4326	710	1270
g4327	1270	399
g4328	399	None
g4329	None	None
g4330	None	1431
g4331	1431	252
g4332	252	1857
g4333	1857	4433
g4334	4433	325
g4335	325	16
g4336	16	3318
g4337	3318	2400
g4338	2400	485
g4339	485	2306
g4340	2306	2242
g4341	2242	3372
g4342	3372	997
g4343	997	2019
g4344	2019	1826
g4345	1826	1034
g4346	1034	185
g4347	185	344
g4348	344	1048
g4349	1048	9261
g4350	9261	5463
g4351	5463	2722
g4352	2722	2249
g4353	2249	392
g4354	392	4410
g4355	4410	1360
g4356	1360	4664
g4357	4664	3198
g4358	3198	4796
g4359	4796	32
g4360	32	1223
g4361	1223	450
g4362	450	132
g4363	132	636
g4364	636	842
g4365	842	1547
g4366	1547	208
g4367	208	904
g4368	904	839
g4369	839	156
g4370	156	156
g4371	156	372
g4372	372	1472
g4373	1472	107
g4374	107	433
g4375	433	251
g4376	251	113
g4377	113	81
g4378	81	221
g4379	221	637
g4380	637	138
g4381	138	287
g4382	287	315
g4383	315	646
g4384	646	731
g4385	731	2739
g4386	2739	2511
g4387	2511	640
g4388	640	83
g4389	83	1283
g4390	1283	803
g4391	803	143
g4392	143	17
g4393	17	423
g4394	423	29
g4395	29	130
g4396	130	122
g4397	122	78
g4398	78	690
g4399	690	1719
g4400	3940	1287
g4401	1287	555
g4402	555	190
g4403	190	782
g4404	782	444
g4405	444	100
g4406	100	1414
g4407	1414	826
g4408	826	852
g4409	852	112
g4410	112	39
g4411	39	112
g4412	112	9
g4413	9	434
g4414	434	287
g4415	287	133
g4416	133	5071
g4417	5071	4640
g4418	5111	4801
g4419	4640	1203
g4420	1203	117
g4421	117	434
g4422	434	218
g4423	218	247
g4424	247	1949
g4425	1949	12328
g4426	12328	1441
g4427	1441	1118
g4428	1118	1037
g4429	1037	219
g4430	219	467
g4431	467	293
g4432	293	424
g4433	424	153
g4434	153	530
g4435	530	516
g4436	516	117
g4437	117	436
g4438	436	683
g4439	683	402
g4440	402	267
g4441	267	342
g4442	342	48
g4443	48	22
g4444	22	401
g4445	401	1798
g4446	1798	1172
g4447	1172	763
g4448	763	253
g4449	253	195
g4450	195	183
g4451	183	57
g4452	57	208
g4453	208	997
g4454	997	428
g4455	428	817
g4456	817	962
g4457	962	286
g4458	2426	3686
g4459	286	424
g4460	424	151
g4461	151	397
g4462	397	177
g4463	177	413
g4464	413	154
g4465	154	786
g4466	786	138
g4467	138	493
g4468	493	840
g4469	840	213
g4470	213	474
g4471	474	42
g4472	42	203
g4473	203	338
g4474	338	95
g4475	95	476
g4476	476	26
g4477	26	722
g4478	722	317
g4479	317	993
g4480	993	529
g4481	529	421
g4482	421	814
g4483	814	78
g4484	78	303
g4485	303	233
g4486	233	290
g4487	290	566
g4488	566	104
g4489	104	1337
g4490	1337	1594
g4491	1594	2748
g4492	2748	1107
g4493	1107	280
g4494	280	159
g4495	159	149
g4496	149	1749
g4497	1749	609
g4498	609	169
g4499	169	416
g4500	416	358
g4501	358	22
g4502	22	352
g4503	352	300
g4504	300	24
g4505	24	609
g4506	609	267
g4507	267	228
g4508	228	2602
g4509	2602	367
g4510	367	41
g4511	41	246
g4512	246	257
g4513	257	238
g4514	238	421
g4515	421	565
g4516	565	253
g4517	253	344
g4518	344	654
g4519	654	1168
g4520	1168	686
g4521	686	136
g4522	136	433
g4523	433	71
g4524	71	386
g4525	386	500
g4526	500	363
g4527	363	645
g4528	645	1164
g4529	1164	239
g4530	239	826
g4531	826	672
g4532	672	464
g4533	464	214
g4534	214	1423
g4535	1423	232
g4536	232	568
g4537	568	7281
g4538	7281	983
g4539	983	549
g4540	549	1229
g4541	1229	369
g4542	369	130
g4543	130	457
g4544	457	40
g4545	1739	4896
g4546	40	516
g4547	516	63
g4548	63	250
g4549	250	58
g4550	58	295
g4551	295	682
g4552	682	1392
g4553	1392	64
g4554	64	83
g4555	83	312
g4556	312	754
g4557	754	866
g4558	866	180
g4559	180	530
g4560	530	288
g4561	288	623
g4562	623	622
g4563	622	53
g4564	53	146
g4565	146	246
g4566	246	512
g4567	512	3469
g4568	3469	892
g4569	892	223
g4570	4154	2556
g4571	223	302
g4572	302	567
g4573	567	4206
g4574	4206	1614
g4575	1614	464
g4576	464	337
g4577	337	355
g4578	355	323
g4579	323	465
g4580	465	580
g4581	580	935
g4582	935	946
g4583	946	176
g4584	176	606
g4585	606	466
g4586	466	295
g4587	295	243
g4588	243	781
g4589	781	1313
g4590	1313	379
g4591	379	481
g4592	481	1373
g4593	1373	233
g4594	233	2245
g4595	2245	878
g4596	878	797
g4597	797	2202
g4598	2202	43
g4599	43	544
g4600	544	116
g4601	4014	2537
g4602	116	3013
g4603	3013	783
g4604	783	437
g4605	437	2154
g4606	2154	1145
g4607	1145	3291
g4608	3291	406
g4609	406	1976
g4610	1976	514
g4611	514	643
g4612	643	368
g4613	368	2747
g4614	2747	354
g4615	354	287
g4616	287	585
g4617	585	626
g4618	626	2318
g4619	2318	982
g4620	982	1897
g4621	1897	1644
g4622	1644	106
g4623	106	827
g4624	827	3397
g4625	3397	2620
g4626	2620	724
g4627	724	163
g4628	163	3715
g4629	3715	191
g4630	191	819
g4631	819	1701
g4632	1701	400
g4633	400	1911
g4634	1911	22
g4635	22	180
g4636	180	208
g4637	208	71
g4638	71	419
g4639	419	349
g4640	349	257
g4641	257	376
g4642	376	27
g4643	27	565
g4644	565	197
g4645	197	2469
g4646	2469	411
g4647	411	749
g4648	749	576
g4649	576	214
g4650	214	449
g4651	449	841
g4652	841	657
g4653	657	363
g4654	363	524
g4655	524	401
g4656	401	585
g4657	585	417
g4658	417	155
g4659	155	417
g4660	417	180
g4661	180	213
g4662	213	398
g4663	398	328
g4664	328	899
g4665	899	749
g4666	749	2139
g4667	2139	219
g4668	219	237
g4669	237	50
g4670	50	898
g4671	898	582
g4672	582	868
g4673	868	1674
g4674	1674	8026
g4675	8026	1126
g4676	1126	496
g4677	496	2493
g4678	3847	1668
g4679	1668	1278
g4680	1278	307
g4681	307	1037
g4682	1037	1228
g4683	1228	4476
g4684	4476	4685
g4685	4685	2534
g4686	2534	29
g4687	29	278
g4688	278	2370
g4689	2370	533
g4690	533	316
g4691	316	3658
g4692	3658	1136
g4693	1136	250
g4694	250	221
g4695	221	578
g4696	578	1415
g4697	1415	2134
g4698	2134	214
g4699	214	256
g4700	256	578
g4701	578	805
g4702	805	841
g4703	841	850
g4704	850	110
g4705	110	4847
g4706	4847	4085
g4707	4085	2416
g4708	2416	799
g4709	799	21
g4710	21	840
g4711	840	865
g4712	865	93
g4713	93	1169
g4714	1169	615
g4715	615	328
g4716	328	50
g4717	50	1158
g4718	1158	649
g4719	649	882
g4720	882	3218
g4721	3218	297
g4722	297	384
g4723	384	1575
g4724	1575	845
g4725	845	695
g4726	695	837
g4727	837	1846
g4728	1846	119
g4729	119	1144
g4730	1144	380
g4731	380	612
g4732	612	187
g4733	187	775
g4734	775	232
g4735	232	86
g4736	86	35
g4737	35	383
g4738	383	3061
g4739	3061	659
g4740	659	5113
g4741	5113	201
g4742	201	794
g4743	794	580
g4744	580	593
g4745	593	564
g4746	564	423
g4747	423	856
g4748	856	1116
g4749	1116	741
g4750	741	287
g4751	287	759
g4752	759	112
g4753	112	627
g4754	627	168
g4755	168	358
g4756	358	182
g4757	182	200
g4758	200	581
g4759	581	194
g4760	194	241
g4761	241	133
g4762	133	16678
g4763	16678	278
g4764	278	866
g4765	866	662
g4766	662	212
g4767	212	522
g4768	522	564
g4769	564	536
g4770	536	795
g4771	795	587
g4772	587	789
g4773	789	368
g4774	368	712
g4775	712	822
g4776	822	2200
g4777	2200	515
g4778	515	1136
g4779	1136	440
g4780	440	3521
g4781	3521	1924
g4782	1924	825
g4783	825	804
g4784	804	369
g4785	369	2298
g4786	2298	1307
g4787	1307	932
g4788	932	256
g4789	256	331
g4790	331	4382
g4791	4382	1933
g4792	1933	1599
g4793	1599	25
g4794	25	595
g4795	595	444
g4796	444	394
g4797	394	364
g4798	364	492
g4799	492	252
g4800	252	596
g4801	596	519
g4802	519	2595
g4803	1069	226
g4804	226	952
g4805	952	490
g4806	490	1049
g4807	1049	13264
g4808	13264	55
g4809	55	222
g4810	222	1053
g4811	1053	710
g4812	710	943
g4813	943	201
g4814	201	561
g4815	561	967
g4816	967	146
g4817	146	969
g4818	969	1163
g4819	1163	294
g4820	294	1130
g4821	1130	168
g4822	168	428
g4823	428	390
g4824	390	759
g4825	759	80
g4826	80	768
g4827	768	1196
g4828	1196	181
g4829	181	812
g4830	812	77
g4831	77	234
g4832	234	432
g4833	432	68
g4834	68	46
g4835	46	208
g4836	208	989
g4837	989	104
g4838	104	654
g4839	654	None
g4840	None	1056
g4841	1056	1094
g4842	1094	159
g4843	159	37
g4844	37	435
g4845	435	59
g4846	59	677
g4847	677	282
g4848	282	656
g4849	656	963
g4850	963	230
g4851	230	1731
g4852	1731	625
g4853	625	637
g4854	637	1342
g4855	1342	2381
g4856	2381	379
g4857	379	57
g4858	57	97
g4859	372	1028
g4860	97	283
g4861	283	24
g4862	24	121
g4863	121	206
g4864	206	547
g4865	547	134
g4866	134	468
g4867	468	211
g4868	211	57
g4869	57	642
g4870	642	399
g4871	399	1065
g4872	1065	36
g4873	36	84
g4874	84	119
g4875	119	1631
g4876	1631	145
g4877	145	1812
g4878	1812	2010
g4879	2010	None
g4880	None	1218
g4881	1218	1557
g4882	1557	8813
g4883	8813	2547
g4884	2547	909
g4885	909	61
g4886	61	4210
g4887	4210	35
g4888	35	1859
g4889	1859	1735
g4890	1735	1310
g4891	1310	1711
g4892	1711	1487
g4893	1487	3954
g4894	3954	773
g4895	773	1173
g4896	1173	2082
g4897	2082	2869
g4898	2869	2366
g4899	2366	203
g4900	203	3310
g4901	3310	1528
g4902	1528	130
g4903	130	2685
g4904	2685	3642
g4905	3642	702
g4906	702	507
g4907	507	1579
g4908	1579	2908
g4909	2908	1167
g4910	1167	1255
g4911	1255	1466
g4912	1466	2940
g4913	2940	634
g4914	634	2133
g4915	2133	458
g4916	458	508
g4917	508	237
g4918	237	4390
g4919	4390	1627
g4920	1627	577
g4921	577	1055
g4922	1055	1092
g4923	1092	466
g4924	466	1476
g4925	1476	738
g4926	738	50
g4927	50	608
g4928	608	462
g4929	462	398
g4930	398	1265
g4931	1265	388
g4932	388	726
g4933	726	5471
g4934	5471	682
g4935	682	220
g4936	220	832
g4937	832	1240
g4938	1240	594
g4939	594	927
g4940	927	1566
g4941	1566	1956
g4942	1956	1165
g4943	1165	475
g4944	475	836
g4945	836	400
g4946	400	167
g4947	167	135
g4948	135	1227
g4949	1227	616
g4950	616	1067
g4951	1067	1089
g4952	1089	260
g4953	260	151
g4954	151	2659
g4955	2659	952
g4956	952	47
g4957	47	2743
g4958	2743	412
g4959	412	837
g4960	837	241
g4961	241	156
g4962	156	2090
g4963	2090	41
g4964	41	280
g4965	280	2536
g4966	2536	599
g4967	599	526
g4968	526	496
g4969	496	55
g4970	55	1815
g4971	1815	2233
g4972	2233	1265
g4973	1265	2813
g4974	2813	694
g4975	694	836
g4976	836	3894
g4977	3894	423
g4978	423	1276
g4979	1276	103
g4980	103	202
g4981	202	269
g4982	269	659
g4983	659	1006
g4984	1006	574
g4985	574	3342
g4986	3342	3035
g4987	3035	1467
g4988	1467	2346
g4989	2346	577
g4990	577	1622
g4991	1622	1239
g4992	1239	1187
g4993	1187	907
g4994	907	311
g4995	311	3163
g4996	3163	2001
g4997	2001	456
g4998	456	1101
g4999	1101	189
g5000	189	520
g5001	520	89
g5002	89	46
g5003	46	7705
g5004	7705	22
g5005	22	5884
g5006	5884	145
g5007	145	933
g5008	933	631
g5009	631	2174
g5010	2174	595
g5011	595	680
g5012	680	990
g5013	990	982
g5014	982	56
g5015	56	59
g5016	59	66
g5017	66	1007
g5018	1007	209
g5019	209	574
g5020	574	581
g5021	581	173
g5022	173	773
g5023	773	518
g5024	518	979
g5025	979	2535
g5026	2535	3210
g5027	3210	629
g5028	629	2854
g5029	2854	1362
g5030	1362	1099
g5031	1099	301
g5032	301	122
g5033	122	1241
g5034	1241	440
g5035	440	1977
g5036	1977	378
g5037	378	43
g5038	43	648
g5039	648	651
g5040	651	504
g5041	504	22
g5042	22	405
g5043	405	509
g5044	509	472
g5045	472	3194
g5046	3194	1881
g5047	1881	1235
g5048	1235	652
g5049	652	1825
g5050	1825	641
g5051	641	646
g5052	646	597
g5053	597	3099
g5054	3099	551
g5055	551	1377
g5056	1377	146
g5057	146	481
g5058	481	33
g5059	33	1439
g5060	1439	1162
g5061	1162	1157
g5062	1157	2293
g5063	2293	20
g5064	20	140
g5065	140	3641
g5066	2939	1560
g5067	1560	1929
g5068	1929	603
g5069	603	512
g5070	512	623
g5071	623	543
g5072	543	576
g5073	576	771
g5074	771	93
g5075	93	831
g5076	831	1461
g5077	1461	1193
g5078	1193	164
g5079	164	113
g5080	113	242
g5081	242	799
g5082	799	297
g5083	297	419
g5084	419	1216
g5085	1216	237
g5086	237	2735
g5087	2735	1416
g5088	1416	169
g5089	169	383
g5090	383	198
g5091	198	740
g5092	740	389
g5093	389	1096
g5094	1096	16318
g5095	16318	1865
g5096	1865	475
g5097	475	577
g5098	577	609
g5099	609	674
g5100	674	564
g5101	564	188
g5102	188	696
g5103	696	673
g5104	673	2021
g5105	2021	596
g5106	596	885
g5107	885	1129
g5108	1129	39
g5109	39	1423
g5110	1423	738
g5111	738	717
g5112	717	309
g5113	309	47
g5114	47	142
g5115	142	2318
g5116	2318	473
g5117	6912	514
g5118	473	1070
g5119	1070	392
g5120	392	1136
g5121	1136	701
g5122	701	657
g5123	657	423
g5124	423	2891
g5125	2891	406
g5126	406	176
g5127	176	5026
g5128	5026	824
g5129	824	338
g5130	338	597
g5131	597	803
g5132	803	6843
g5133	6843	241
g5134	241	1865
g5135	1865	1203
g5136	4327	1188
g5137	1188	1716
g5138	1716	3246
g5139	3246	854
g5140	854	1894
g5141	1894	402
g5142	402	287
g5143	287	401
g5144	401	3250
g5145	3250	344
g5146	344	2044
g5147	2044	141
g5148	4624	270
g5149	141	1341
g5150	1341	173
g5151	173	174
g5152	174	715
g5153	715	125
g5154	125	533
g5155	533	2546
g5156	2546	727
g5157	727	3856
g5158	3856	1011
g5159	1011	2643
g5160	2643	1699
g5161	1699	801
g5162	801	715
g5163	715	683
g5164	683	2226
g5165	2226	119
g5166	119	183
g5167	183	102
g5168	102	4885
g5169	4885	880
g5170	20560	773
g5171	773	1331
g5172	1331	42
g5173	42	1219
g5174	1219	43
g5175	43	596
g5176	596	396
g5177	396	655
g5178	655	680
g5179	680	175
g5180	175	109
g5181	109	282
g5182	282	1758
g5183	1758	321
g5184	321	157
g5185	157	182
g5186	182	971
g5187	971	811
g5188	811	500
g5189	500	5354
g5190	5354	349
g5191	349	375
g5192	375	909
g5193	909	432
g5194	432	123
g5195	123	800
g5196	800	290
g5197	290	784
g5198	784	503
g5199	503	4256
g5200	4256	324
g5201	324	424
g5202	424	696
g5203	696	1027
g5204	1027	130
g5205	130	494
g5206	494	396
g5207	396	317
g5208	317	278
g5209	278	845
g5210	845	1026
g5211	1026	1388
g5212	1388	334
g5213	334	564
g5214	564	292
g5215	292	347
g5216	347	165
g5217	165	1675
g5218	1675	3834
g5219	3834	935
g5220	935	599
g5221	599	2279
g5222	2279	946
g5223	946	647
g5224	647	335
g5225	335	4623
g5226	4623	1127
g5227	1127	252
g5228	252	361
g5229	361	196
g5230	196	430
g5231	430	201
g5232	201	1224
g5233	1224	209
g5234	209	208
g5235	208	32
g5236	32	936
g5237	936	395
g5238	395	290
g5239	290	1489
g5240	1489	662
g5241	662	294
g5242	294	312
g5243	312	431
g5244	431	727
g5245	727	94
g5246	94	508
g5247	508	1075
g5248	1075	493
g5249	493	176
g5250	176	270
g5251	270	597
g5252	597	1993
g5253	1993	1632
g5254	1632	39
g5255	39	456
g5256	456	630
g5257	630	5696
g5258	5696	772
g5259	772	576
g5260	576	1884
g5261	1044	1436
g5262	1436	424
g5263	424	1528
g5264	1528	1065
g5265	1065	3064
g5266	3064	1919
g5267	1919	2895
g5268	2895	242
g5269	242	706
g5270	706	171
g5271	171	334
g5272	334	1685
g5273	1685	82
g5274	82	64
g5275	64	611
g5276	611	232
g5277	232	767
g5278	767	170
g5279	170	1688
g5280	1688	9087
g5281	9087	73
g5282	73	184
g5283	184	441
g5284	441	1170
g5285	1170	458
g5286	458	1584
g5287	1584	595
g5288	595	3058
g5289	3058	1837
g5290	1837	443
g5291	443	498
g5292	498	280
g5293	280	356
g5294	356	955
g5295	955	888
g5296	888	218
g5297	218	356
g5298	356	6355
g5299	6355	522
g5300	522	405
g5301	405	661
g5302	661	584
g5303	584	87
g5304	87	149
g5305	149	1096
g5306	1096	190
g5307	190	1783
g5308	1783	4233
g5309	4233	655
g5310	655	170
g5311	170	23
g5312	23	160
g5313	160	1370
g5314	1370	1640
g5315	1640	798
g5316	798	1348
g5317	1348	1894
g5318	1894	476
g5319	476	178
g5320	178	359
g5321	359	2066
g5322	2066	937
g5323	937	626
g5324	626	1363
g5325	1363	346
g5326	346	3064
g5327	3064	421
g5328	421	2264
g5329	2264	633
g5330	633	1131
g5331	1131	302
g5332	302	2057
g5333	2057	1045
g5334	1045	1145
g5335	1145	2260
g5336	2260	32
g5337	32	115
g5338	115	286
g5339	286	1564
g5340	1564	3593
g5341	3593	184
g5342	184	2268
g5343	2268	440
g5344	440	314
g5345	314	1206
g5346	1206	1451
g5347	1451	1761
g5348	1761	304
g5349	304	535
g5350	535	53
g5351	53	619
g5352	619	207
g5353	207	1554
g5354	1554	321
g5355	321	594
g5356	594	8
g5357	8	580
g5358	580	1017
g5359	1017	1173
g5360	1173	663
g5361	8664	905
g5362	663	1160
g5363	1160	1014
g5364	1014	443
g5365	443	62
g5366	62	2319
g5367	2319	3871
g5368	3871	692
g5369	692	3600
g5370	3600	1182
g5371	1182	696
g5372	696	198
g5373	198	456
g5374	456	1473
g5375	1473	4450
g5376	4450	1055
g5377	1055	1656
g5378	1656	2189
g5379	2189	518
g5380	518	969
g5381	969	1686
g5382	1686	2159
g5383	2159	604
g5384	604	1358
g5385	1358	268
g5386	268	649
g5387	649	7250
g5388	7250	454
g5389	454	457
g5390	457	518
g5391	518	711
g5392	711	1012
g5393	1012	1248
g5394	1248	426
g5395	426	243
g5396	243	439
g5397	439	2102
g5398	2102	1062
g5399	1062	5707
g5400	5707	3036
g5401	3036	1000
g5402	1000	1359
g5403	1359	762
g5404	762	2731
g5405	2731	2346
g5406	2346	9725
g5407	9725	2499
g5408	2499	436
g5409	436	2865
g5410	2865	1202
g5411	1202	2702
g5412	2702	623
g5413	623	6824
g5414	6824	1553
g5415	1553	609
g5416	609	745
g5417	745	665
g5418	665	942
g5419	942	614
g5420	614	1669
g5421	1669	201
g5422	201	830
g5423	830	1359
g5424	1359	37
g5425	37	1209
g5426	1209	345
g5427	345	1565
g5428	1360	4944
g5429	1565	68
g5430	68	418
g5431	418	1244
g5432	1244	1586
g5433	1586	1033
g5434	1033	920
g5435	920	2333
g5436	2333	274
g5437	274	3139
g5438	3139	269
g5439	269	409
g5440	409	732
g5441	732	1146
g5442	1146	923
g5443	923	6896
g5444	6896	2435
g5445	2435	768
g5446	768	1680
g5447	1680	1956
g5448	1956	515
g5449	515	4386
g5450	4386	156
g5451	156	4236
g5452	4236	3319
g5453	3319	3452
g5454	3452	2006
g5455	2006	138
g5456	138	1055
g5457	1055	1846
g5458	1846	859
g5459	859	238
g5460	238	1183
g5461	1183	339
g5462	339	210
g5463	210	962
g5464	962	1463
g5465	1463	1216
g5466	1216	1919
g5467	1919	533
g5468	533	3004
g5469	3004	1487
g5470	1487	391
g5471	391	365
g5472	365	889
g5473	889	1076
g5474	1076	1960
g5475	1960	2112
g5476	2112	2005
g5477	2005	7468
g5478	7468	1493
g5479	1493	1463
g5480	1463	1606
g5481	1606	2621
g5482	2621	3726
g5483	3726	521
g5484	521	1536
g5485	1536	4463
g5486	4463	430
g5487	430	874
g5488	874	1647
g5489	1647	862
g5490	862	3467
g5491	3467	1309
g5492	1309	1525
g5493	1525	6921
g5494	6921	2898
g5495	2898	5441
g5496	5441	514
g5497	514	1165
g5498	1165	1500
g5499	1500	904
g5500	904	1921
g5501	1921	835
g5502	835	3482
g5503	3482	115
g5504	115	1203
g5505	1203	27
g5506	27	874
g5507	874	394
g5508	394	627
g5509	627	209
g5510	209	24
g5511	24	356
g5512	356	51
g5513	51	628
g5514	628	1974
g5515	1974	372
g5516	372	2705
g5517	2705	2079
g5518	2079	1856
g5519	1856	566
g5520	566	4268
g5521	4268	2479
g5522	2479	4136
g5523	4136	1072
g5524	1072	1194
g5525	1194	969
g5526	969	476
g5527	476	2843
g5528	2843	2468
g5529	2468	1776
g5530	1776	232
g5531	232	2484
g5532	2484	414
g5533	414	1061
g5534	1061	768
g5535	768	2252
g5536	2252	220
g5537	220	3873
g5538	3873	1096
g5539	1096	873
g5540	873	420
g5541	420	982
g5542	982	4730
g5543	4730	361
g5544	361	2539
g5545	2539	1065
g5546	1065	1290
g5547	1290	2111
g5548	2111	1041
g5549	1041	842
g5550	842	1185
g5551	1185	591
g5552	591	500
g5553	500	1244
g5554	1244	1852
g5555	1852	2832
g5556	2832	765
g5557	765	112
g5558	112	3519
g5559	3519	349
g5560	349	3975
g5561	3975	124
g5562	124	301
g5563	301	2515
g5564	2515	1797
g5565	1797	2462
g5566	2462	12085
g5567	12085	1455
g5568	1455	1157
g5569	1157	832
g5570	832	4986
g5571	4986	327
g5572	327	1631
g5573	1631	514
g5574	514	1020
g5575	1020	2258
g5576	2258	215
g5577	215	5510
g5578	5510	1780
g5579	1780	145
g5580	145	365
g5581	365	681
g5582	681	872
g5583	872	379
g5584	379	44
g5585	44	260
g5586	260	398
g5587	398	1102
g5588	1102	1821
g5589	1821	232
g5590	232	731
g5591	731	650
g5592	650	741
g5593	741	1708
g5594	1708	3108
g5595	3108	26
g5596	26	905
g5597	905	939
g5598	939	224
g5599	224	6466
g5600	6466	851
g5601	851	542
g5602	542	5962
g5603	5962	697
g5604	697	1634
g5605	1634	76
g5606	76	424
g5607	424	156
g5608	156	146
g5609	146	634
g5610	634	1173
g5611	1173	342
g5612	342	1099
g5613	1099	2318
g5614	2318	65
g5615	65	238
g5616	238	2953
g5617	2953	None
g5618	None	4572
g5619	4572	1972
g5620	1972	947
g5621	947	170
g5622	170	6271
